Simulation,Method,Area,Time
25,Orthogonal Sampling,1.5213059999999998,0.4927048683166504
25,Antithetic Orthogonal Sampling,1.5215495079514014,0.20921087265014648
26,Random Sampling,1.5239250000000002,1.260422945022583
26,Antithetic Random Sampling,1.5236820000000002,0.2314598560333252
26,LHS,1.522926,1.2979531288146973
26,Antithetic Latin Sampling,1.5222959999999999,1.2564809322357178
26,Orthogonal Sampling,1.52208,0.5004899501800537
26,Antithetic Orthogonal Sampling,1.5219276221418867,0.20929670333862305
27,Random Sampling,1.516842,1.256376028060913
27,Antithetic Random Sampling,1.528218,0.23582696914672852
27,LHS,1.5218729999999998,1.2939608097076416
27,Antithetic Latin Sampling,1.5239159999999998,1.2620658874511719
27,Orthogonal Sampling,1.5214050000000001,0.4895029067993164
27,Antithetic Orthogonal Sampling,1.5221616928312351,0.2079010009765625
28,Random Sampling,1.520019,1.2674610614776611
28,Antithetic Random Sampling,1.518246,0.23112082481384277
28,LHS,1.518939,1.287358045578003
28,Antithetic Latin Sampling,1.5194520000000002,1.2615330219268799
28,Orthogonal Sampling,1.5227100000000002,0.4920637607574463
28,Antithetic Orthogonal Sampling,1.521513497076117,0.20983409881591797
29,Random Sampling,1.5242490000000002,1.2477130889892578
29,Antithetic Random Sampling,1.525968,0.23353195190429688
29,LHS,1.5268049999999997,1.288464069366455
29,Antithetic Latin Sampling,1.522728,1.2568325996398926
29,Orthogonal Sampling,1.5220349999999998,0.5132508277893066
29,Antithetic Orthogonal Sampling,1.5233680571532604,0.20897626876831055
30,Random Sampling,1.5215130000000001,1.2494070529937744
30,Antithetic Random Sampling,1.528236,0.23566293716430664
30,LHS,1.524159,1.2897820472717285
30,Antithetic Latin Sampling,1.526364,1.256606101989746
30,Orthogonal Sampling,1.521729,0.5086081027984619
30,Antithetic Orthogonal Sampling,1.5214774862008327,0.2124638557434082
31,Random Sampling,1.5177779999999998,1.2537360191345215
31,Antithetic Random Sampling,1.524384,0.23351812362670898
31,LHS,1.5244019999999998,1.2939119338989258
31,Antithetic Latin Sampling,1.5217200000000002,1.251852035522461
31,Orthogonal Sampling,1.521468,0.5010631084442139
31,Antithetic Orthogonal Sampling,1.5220896710806664,0.2114732265472412
32,Random Sampling,1.5199289999999999,1.2559590339660645
32,Antithetic Random Sampling,1.52838,0.23376989364624023
32,LHS,1.5209460000000001,1.277892827987671
32,Antithetic Latin Sampling,1.5181740000000001,1.244870901107788
32,Orthogonal Sampling,1.521954,0.49056220054626465
32,Antithetic Orthogonal Sampling,1.5222157091441613,0.20748114585876465
